Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"586331000","168300","3281","666.5"
"587325000","168300","3281","666.8"
"588184000","168300","3281","667.2"
"589177000","168300","3281","668.0"
"590035000","168300","3281","668.3"
"591290000","168300","3281","669.1"
"592149000","168300","3281","669.4"
"593141000","168300","3281","670.2"
"594000000","168300","3281","670.6"
"594993000","168300","3281","671.3"
"596048000","168300","3281","671.7"
"597104000","168300","3281","672.4"
"597963000","168300","3281","672.8"
"598956000","168300","3281","673.6"
"599815000","168300","3281","673.9"
"601068000","168300","3281","674.7"
"601927000","168300","3281","675.0"
"602921000","168300","3281","675.4"
"603779000","168300","3281","676.2"
"604773000","168300","3281","676.5"
"605886000","168300","3281","677.3"
"606880000","168300","3281","677.7"
"607739000","168300","3281","678.4"
"608731000","168300","3281","678.8"
"609590000","168300","3281","679.1"
"610844000","168300","3281","679.9"
"611702000","168300","3281","680.3"
"612695000","168300","3280","681.0"
"613554000","168300","3281","681.4"
"614547000","168300","3281","682.2"
"615662000","168300","3281","682.5"
"616654000","168300","3281","683.3"
"617513000","168300","3280","683.6"
"618506000","168300","3280","684.4"
"619365000","168300","3281","684.8"
"620619000","168300","3281","685.5"
"621477000","168300","3281","685.9"
"622470000","168300","3281","686.6"
"623329000","168300","3281","687.0"
"624322000","168300","3281","687.4"
"625436000","168300","3281","688.1"
"626428000","168300","3280","688.5"
"627287000","169100","3280","689.2"
"628281000","169100","3280","689.6"
"629139000","169100","3281","690.4"
"630387000","169100","3280","690.7"
"631252000","169100","3280","691.5"
"632245000","169100","3280","691.8"
"633104000","169100","3280","692.2"
"634096000","169100","3280","693.0"
"635210000","169100","3280","693.3"
"636204000","169100","3280","694.1"
"637063000","169100","3280","694.5"
"638055000","169100","3280","695.2"
"638919000","169100","3280","695.6"
"640167000","169100","3281","696.3"
"641031000","169100","3281","696.7"
"642024000","169100","3281","697.5"
"642882000","169100","3281","697.8"
"643875000","169100","3281","698.2"
"644990000","169100","3281","698.9"
"645983000","169100","3281","699.7"
"646843000","169100","3281","700.1"
"647836000","169100","3281","700.4"
"648695000","169100","3281","701.2"
"649943000","169100","3281","701.5"
"650808000","169100","3281","702.3"
"651801000","169100","3281","702.7"
"652660000","169100","3281","703.0"
"653653000","169100","3281","703.8"
"654768000","169100","3280","704.2"
"655761000","169100","3280","704.9"
"656620000","169100","3280","705.3"
"657612000","169100","3280","706.0"
