Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"349837000","3530900","3271","335926.7","0x3E060D080004830"
"350745000","3525900","3271","335937.4","0x3E060D080004930"
"351588000","3525900","3271","335947.3",""
"352433000","3525900","3271","335956.8",""
"353275000","3525900","3271","335966.7",""
"354368000","3525900","3271","335979.4",""
"355270000","3531900","3271","335990.1",""
"356114000","3531900","3272","336000.1",""
"356959000","3531900","3272","336009.6",""
"357807000","3531900","3271","336019.5",""
"358900000","3531900","3272","336032.2",""
"359802000","3526400","3272","336042.9",""
"360651000","3526400","3272","336052.8",""
"361494000","3526400","3272","336062.3",""
"362339000","3526400","3272","336072.2",""
"363432000","3526400","3272","336084.9",""
"364332000","3527400","3272","336095.6",""
"365176000","3527400","3272","336105.5",""
"366020000","3527400","3272","336115.4",""
"366865000","3527400","3272","336125.0",""
"367958000","3527400","3272","336137.6",""
"368859000","3530400","3272","336148.3",""
"369703000","3530400","3272","336158.3",""
"370552000","3530400","3272","336168.2",""
"371396000","3530400","3272","336177.7",""
"372490000","3530400","3272","336190.4",""
"373390000","3526900","3272","336201.1",""
"374234000","3526900","3272","336211.0",""
"375078000","3526900","3272","336220.9",""
"375922000","3526900","3272","336230.4",""
"377016000","3526900","3272","336243.1",""
"377917000","3530400","3272","336253.8",""
"378761000","3530400","3272","336263.3",""
"379605000","3530400","3272","336273.3",""
"380450000","3530400","3272","336283.2",""
"381540000","3530400","3272","336295.9",""
"382450000","3525400","3272","336306.6",""
"383294000","3525400","3273","336316.5","0x3E060C280004830"
"384138000","3525400","3273","336326.0","0x3E0614A80004930"
"384982000","3525400","3273","336335.9",""
"386075000","3525400","3272","336348.6",""
"386977000","3530400","3273","336359.3",""
"387820000","3530400","3273","336369.2",""
"388664000","3530400","3273","336378.7",""
"389506000","3530400","3272","336388.6",""
"390604000","3530400","3272","336401.7",""
"391505000","3528900","3273","336412.0",""
"392349000","3528900","3272","336421.9",""
"393194000","3528900","3272","336431.9",""
"394038000","3528900","3272","336441.4",""
"395131000","3528900","3272","336454.1",""
"396033000","3529900","3272","336464.8",""
"396876000","3529900","3272","336474.7",""
"397720000","3529900","3272","336484.2",""
"398562000","3529900","3272","336494.1",""
"399660000","3529900","3272","336507.2",""
"400566000","3524900","3272","336517.5",""
"401410000","3524900","3271","336527.4",""
"402255000","3524900","3271","336537.3",""
"403098000","3524900","3271","336546.9",""
"404191000","3524900","3271","336559.5",""
"405094000","3529900","3272","336570.2",""
