Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"703804000","3387500","3275","7915.0"
"704897000","3387500","3276","7927.3"
"705988000","3387500","3276","7939.2"
"707081000","3387500","3276","7951.5"
"708173000","3387500","3275","7963.8"
"709522000","3369800","3275","7978.5"
"710619000","3369800","3275","7990.9"
"711711000","3369800","3276","8003.2"
"712804000","3369800","3275","8015.5"
"713897000","3369800","3275","8027.8"
"715245000","3387500","3275","8042.5"
"716339000","3387500","3275","8054.9"
"717432000","3387500","3275","8067.2"
"718524000","3387500","3275","8079.1"
"719622000","3387500","3276","8091.4"
"720970000","3387100","3275","8106.5"
"722061000","3387100","3275","8118.8"
"723154000","3387100","3276","8130.8"
"724247000","3387100","3276","8143.1"
"725339000","3387100","3275","8155.4"
"726686000","3370500","3275","8170.1"
"727779000","3370500","3276","8182.4"
"728870000","3370500","3276","8194.7"
"729968000","3370500","3276","8207.1"
"731060000","3370500","3276","8219.0"
"732408000","3388700","3276","8234.1"
"733500000","3388700","3276","8246.4"
"734593000","3388700","3276","8258.7"
"735690000","3388700","3276","8271.0"
"736782000","3388700","3276","8283.0"
"738129000","3388700","3276","8298.1"
"739222000","3388700","3275","8310.4"
"740320000","3388700","3275","8322.3"
"741412000","3388700","3276","8334.6"
"742505000","3388700","3275","8346.9"
"743853000","3366000","3275","8361.6"
"744945000","3366000","3276","8374.0"
"746038000","3366000","3275","8386.3"
"747131000","3366000","3275","8398.6"
"748223000","3366000","3275","8410.5"
"749571000","3391300","3275","8425.6"
"750669000","3391300","3276","8437.9"
"751761000","3391300","3275","8450.3"
"752854000","3391300","3275","8462.6"
"753946000","3391300","3276","8474.5"
"755294000","3387500","3276","8489.6"
"756386000","3387500","3276","8501.9"
"757479000","3387500","3276","8513.8"
"758572000","3387500","3276","8526.2"
"759670000","3387500","3276","8538.5"
"761018000","3387500","3276","8553.6"
"762110000","3387500","3276","8565.5"
"763203000","3387500","3276","8577.8"
"764296000","3387500","3276","8590.1"
"765389000","3387500","3276","8602.1"
"766738000","3368300","3276","8617.2"
"767829000","3368300","3276","8629.5"
"768922000","3368300","3276","8641.8"
"770020000","3368300","3276","8654.1"
"771112000","3368300","3276","8666.1"
"772460000","3388300","3276","8681.2"
"773553000","3388300","3276","8693.5"
"774645000","3388300","3276","8705.4"
"775738000","3388300","3276","8717.7"
"776836000","3388300","3276","8730.0"
"778183000","3387900","3276","8745.1"
"779276000","3387900","3276","8757.5"
"780374000","3387900","3276","8769.4"
"781467000","3387900","3276","8781.7"
"782560000","3387900","3276","8794.0"
"783908000","3386700","3276","8809.1"
"785001000","3386700","3276","8821.0"
"786093000","3386700","3276","8833.4"
"787187000","3386700","3276","8845.7"
"788279000","3386700","3276","8858.0"
"789633000","3386700","3276","8873.1"
"790725000","3386700","3276","8885.0"
"791818000","3386700","3276","8897.3"
"792910000","3386700","3276","8909.7"
"794003000","3386700","3276","8922.0"
"795350000","3370200","3276","8936.7"
"796442000","3370200","3276","8949.0"
"797535000","3370200","3276","8961.3"
"798627000","3370200","3276","8973.6"
"799725000","3370200","3276","8985.6"
"801074000","3387100","3276","9000.7"
