Time(ms),Voltage(V),Power(Watt) 
7402,0.029297,3.9014e-06
7414,1.1377,0.0058834
7428,1.1572,0.0060872
7442,1.1475,0.0059848
7455,1.1572,0.0060872
7470,1.1475,0.0059848
7484,1.1279,0.0057828
7497,1.1084,0.0055843
7512,1.1133,0.0056336
7525,1.1719,0.0062422
7539,1.1816,0.0063467
7554,1.1279,0.0057828
7567,1.1426,0.005934
7581,1.1523,0.0060359
7595,1.1475,0.0059848
7609,0.024414,2.7093e-06
7621,1.1328,0.005833
7634,1.1621,0.0061386
7649,1.1621,0.0061386
7662,1.1572,0.0060872
7676,1.1621,0.0061386
7691,1.1816,0.0063467
7704,1.1963,0.006505
7718,1.2109,0.0066653
7732,1.1523,0.0060359
7746,0.84473,0.0032435
7760,1.167,0.0061903
7774,1.1426,0.005934
7788,1.2061,0.0066117
7801,1.1572,0.0060872
7816,1.1475,0.0059848
7830,1.167,0.0061903
7843,1.1377,0.0058834
7858,1.1572,0.0060872
7871,1.1523,0.0060359
7885,1.0986,0.0054863
7900,0.029297,3.9014e-06
7911,1.123,0.0057329
7925,1.1426,0.005934
7939,1.1865,0.0063993
7953,1.1328,0.005833
7967,1.1621,0.0061386
7981,1.1523,0.0060359
7995,1.1768,0.0062944
8008,1.1377,0.0058834
8023,1.1328,0.005833
8036,1.1523,0.0060359
8050,1.1572,0.0060872
8065,1.1279,0.0057828
8078,1.1523,0.0060359
8092,1.1279,0.0057828
8105,1.1914,0.006452
8120,1.1182,0.0056831
8134,1.1426,0.005934
8147,1.1768,0.0062944
8162,1.2256,0.0068275
8175,1.167,0.0061903
8189,1.1035,0.0055352
8204,1.1328,0.005833
8217,1.1133,0.0056336
8231,1.1768,0.0062944
8245,1.1621,0.0061386
8259,1.1621,0.0061386
8273,1.1084,0.0055843
8287,1.1328,0.005833
8301,1.1523,0.0060359
8314,1.1768,0.0062944
8329,1.0938,0.0054377
8343,1.1475,0.0059848
8356,1.1572,0.0060872
8371,1.0449,0.004963
8384,1.1279,0.0057828
8398,1.1816,0.0063467
8413,1.1719,0.0062422
8426,1.167,0.0061903
8440,1.1475,0.0059848
8454,1.167,0.0061903
8468,1.1377,0.0058834
8482,1.1719,0.0062422
8496,1.1523,0.0060359
8510,1.2158,0.0067192
8523,1.167,0.0061903
8538,0.039063,6.9358e-06
8550,1.1963,0.006505
8563,1.1377,0.0058834
8578,1.1572,0.0060872
