Time.s,Voltage.V,Power.Watt,Energy.J
3.607,0.3125,0.00044389,0.001678028692815
3.619,0.29785,0.00040325,0.001683111532815
3.633,0.28809,0.00037724,0.001688574962815
3.645,0.24414,0.00027093,0.001692463982815
3.658,0.30762,0.00043013,0.001697020872815
3.672,0.33691,0.00051596,0.001703643502815
3.684,0.3125,0.00044389,0.001709402602815
3.697,0.30273,0.00041658,0.001714995657815
3.709,0.32715,0.00048648,0.001720414017815
3.723,0.32227,0.00047207,0.001727123867815
3.736,0.32715,0.00048648,0.001733354442815
3.748,0.33203,0.00050111,0.001739279982815
3.762,0.32227,0.00047207,0.001746092242815
3.774,0.32227,0.00047207,0.001751757082815
3.787,0.33203,0.00050111,0.001758082752815
3.8,0.32715,0.00048648,0.001764502087815
3.813,0.33691,0.00051596,0.001771017947815
3.826,0.32715,0.00048648,0.001777533807815
3.838,0.3125,0.00044389,0.001783116027815
3.852,0.33203,0.00050111,0.001789731027815
3.864,0.3125,0.00044389,0.001795401027815
3.877,0.32227,0.00047207,0.001801354767815
3.89,0.31738,0.00045787,0.001807399377815
3.903,0.31738,0.00045787,0.001813351687815
3.916,0.31738,0.00045787,0.001819303997815
3.941,0.3125,0.00044389,0.001830575997815
3.953,0.31738,0.00045787,0.001835986557815
3.966,0.32227,0.00047207,0.001842031167815
3.979,0.31738,0.00045787,0.001848075777815
3.992,0.31738,0.00045787,0.001854028087815
4.005,0.32227,0.00047207,0.001860072697815
4.018,0.32227,0.00047207,0.001866209607815
4.031,0.31738,0.00045787,0.001872254217815
4.043,0.33203,0.00050111,0.001878008097815
4.057,0.33691,0.00051596,0.001885127587815
4.07,0.32227,0.00047207,0.001891549782815
4.082,0.33691,0.00051596,0.001897477962815
4.096,0.31738,0.00045787,0.001904294772815
4.108,0.33203,0.00050111,0.001910048652815
4.121,0.32715,0.00048648,0.001916467987815
4.146,0.31738,0.00045787,0.001928272362815
4.159,0.33691,0.00051596,0.001934602257815
4.171,0.33203,0.00050111,0.001940704677815
4.185,0.32227,0.00047207,0.001947516937815
4.197,0.3418,0.00053102,0.001953535477815
4.21,0.32715,0.00048648,0.001960149227815
4.222,0.31738,0.00045787,0.001965815327815
4.236,0.32227,0.00047207,0.001972324907815
4.249,0.32715,0.00048648,0.001978555482815
4.261,0.33203,0.00050111,0.001984481022815
4.275,0.33203,0.00050111,0.001991496562815
4.287,0.3125,0.00044389,0.001997166562815
4.3,0.31738,0.00045787,0.002003028002815
4.313,0.32715,0.00048648,0.002009166277815
4.326,0.3125,0.00044389,0.002015213682815
4.339,0.32227,0.00047207,0.002021167422815
4.352,0.32715,0.00048648,0.002027397997815
4.365,0.3418,0.00053102,0.002034011747815
4.377,0.3125,0.00044389,0.002039861207815
4.39,0.32227,0.00047207,0.002045814947815
4.404,0.32715,0.00048648,0.002052524797815
4.416,0.31738,0.00045787,0.002058190897815
4.429,0.33203,0.00050111,0.002064424267815
4.442,0.33691,0.00051596,0.002071035222815
4.455,0.33691,0.00051596,0.002077742702815
4.467,0.33203,0.00050111,0.002083845122815
4.481,0.31738,0.00045787,0.002090557982815
4.494,0.30762,0.00043013,0.002096329982815
4.506,0.33203,0.00050111,0.002101917422815
4.519,0.32227,0.00047207,0.002108243092815
4.532,0.31738,0.00045787,0.002114287702815
4.545,0.32715,0.00048648,0.002120425977815
4.557,0.31738,0.00045787,0.002126092077815
4.571,0.30273,0.00041658,0.002132213227815
4.584,0.31738,0.00045787,0.002137897152815
4.596,0.30762,0.00043013,0.002143225152815
4.61,0.32227,0.00047207,0.002149540552815
4.622,0.3125,0.00044389,0.002155036312815
4.635,0.3125,0.00044389,0.002160806882815
4.648,0.31738,0.00045787,0.002166668322815
4.661,0.32227,0.00047207,0.002172712932815
4.674,0.32715,0.00048648,0.002178943507815
4.686,0.33691,0.00051596,0.002184958147815
4.7,0.3125,0.00044389,0.002191677097815
4.712,0.3418,0.00053102,0.002197526557815
4.725,0.31738,0.00045787,0.002203954342815
4.739,0.33203,0.00050111,0.002210667202815
4.751,0.31738,0.00045787,0.002216421082815
4.764,0.32715,0.00048648,0.002222559357815
4.776,0.33691,0.00051596,0.002228573997815
4.801,0.32227,0.00047207,0.002240924372815
4.814,0.33691,0.00051596,0.002247346567815
4.828,0.33203,0.00050111,0.002254466057815
4.84,0.32715,0.00048648,0.002260391597815
4.853,0.32715,0.00048648,0.002266715837815
4.866,0.3418,0.00053102,0.002273329587815
4.879,0.33203,0.00050111,0.002280038432815
4.891,0.32227,0.00047207,0.002285877512815
4.904,0.33203,0.00050111,0.002292203182815
4.918,0.30762,0.00043013,0.002298721862815
4.93,0.31738,0.00045787,0.002304049862815
4.943,0.3125,0.00044389,0.002309911302815
4.956,0.31738,0.00045787,0.002315772742815
4.969,0.33203,0.00050111,0.002322006112815
4.982,0.31738,0.00045787,0.002328239482815
4.995,0.32227,0.00047207,0.002334284092815
5.008,0.33691,0.00051596,0.002340706287815
5.02,0.33691,0.00051596,0.002346897807815
5.033,0.31738,0.00045787,0.002353227702815
5.046,0.33691,0.00051596,0.002359557597815
5.059,0.31738,0.00045787,0.002365887492815
5.072,0.33691,0.00051596,0.002372217387815
5.085,0.32715,0.00048648,0.002378733247815
5.098,0.32715,0.00048648,0.002385057487815
5.11,0.3125,0.00044389,0.002390639707815
5.124,0.31738,0.00045787,0.002396952027815
5.137,0.33691,0.00051596,0.002403281922815
5.149,0.34668,0.0005463,0.002409655482815
5.163,0.32715,0.00048648,0.002416884942815
5.175,0.32715,0.00048648,0.002422722702815
5.188,0.3125,0.00044389,0.002428770107815
5.2,0.0097656,0.00000043349,0.002431436048755
5.213,0.3418,0.00053102,0.00243489049644
5.226,0.33203,0.00050111,0.00244159934144
5.238,0.32715,0.00048648,0.00244752488144
5.252,0.33691,0.00051596,0.00245454196144
5.264,0.30273,0.00041658,0.00246013720144
5.277,0.31738,0.00045787,0.00246582112644
5.289,0.3125,0.00044389,0.00247123168644
5.303,0.019531,0.000001734,0.00247435105444
5.315,0.32227,0.00047207,0.00247719387844
5.327,0.3125,0.00044389,0.00248268963844
5.341,0.32715,0.00048648,0.00248920222844
5.353,0.32227,0.00047207,0.00249495352844
5.366,0.3125,0.00044389,0.00250090726844
5.379,0.32227,0.00047207,0.00250686100844
5.392,0.31738,0.00045787,0.00251290561844
5.405,0.33691,0.00051596,0.00251923551344
5.417,0.30762,0.00043013,0.00252491205344
5.431,0.32715,0.00048648,0.00253132832344
5.443,0.32715,0.00048648,0.00253716608344
5.456,0.32227,0.00047207,0.00254339665844
5.47,0.32715,0.00048648,0.00255010650844
5.494,0.32227,0.00047207,0.00256160910844
5.507,0.33691,0.00051596,0.00256803130344
5.52,0.32227,0.00047207,0.00257445349844
5.532,0.32227,0.00047207,0.00258011833844
5.545,0.32715,0.00048648,0.00258634891344
5.559,0.3418,0.00053102,0.00259347141344
5.571,0.32715,0.00048648,0.00259957641344
5.584,0.3418,0.00053102,0.00260619016344
5.597,0.33203,0.00050111,0.00261289900844
5.61,0.32715,0.00048648,0.00261931834344
5.622,0.3418,0.00053102,0.00262542334344
5.636,0.32227,0.00047207,0.00263244497344
5.649,0.30762,0.00043013,0.00263830927344
5.661,0.33203,0.00050111,0.00264389671344
5.675,0.3418,0.00053102,0.00265112162344
5.687,0.3125,0.00044389,0.00265697108344
5.7,0.31738,0.00045787,0.00266283252344
5.712,0.32715,0.00048648,0.00266849862344
5.726,0.024414,0.0000027093,0.00267192294854
5.738,0.32715,0.00048648,0.00267485808434
5.75,0.30273,0.00041658,0.00268027644434
5.764,0.32715,0.00048648,0.00268659786434
5.776,0.3125,0.00044389,0.00269218008434
5.789,0.32227,0.00047207,0.00269813382434
5.803,0.31738,0.00045787,0.00270464340434
5.815,0.3125,0.00044389,0.00271005396434
5.828,0.3125,0.00044389,0.00271582453434
5.84,0.33203,0.00050111,0.00272149453434
5.854,0.30762,0.00043013,0.00272801321434
5.866,0.32715,0.00048648,0.00273351287434
5.879,0.32715,0.00048648,0.00273983711434
5.893,0.31738,0.00045787,0.00274644756434
5.905,0.32227,0.00047207,0.00275202720434
5.918,0.33203,0.00050111,0.00275835287434
5.931,0.32715,0.00048648,0.00276477220934
5.944,0.33203,0.00050111,0.00277119154434
5.956,0.33203,0.00050111,0.00277720486434
5.969,0.31738,0.00045787,0.00278343823434
5.983,0.32715,0.00048648,0.00279004868434
5.995,0.31738,0.00045787,0.00279571478434
6.008,0.31738,0.00045787,0.00280166709434
6.021,0.30762,0.00043013,0.00280743909434
6.034,0.33691,0.00051596,0.00281358867934
6.047,0.33691,0.00051596,0.00282029615934
6.06,0.31738,0.00045787,0.00282662605434
6.073,0.32715,0.00048648,0.00283276432934
6.085,0.3418,0.00053102,0.00283886932934
6.098,0.32715,0.00048648,0.00284548307934
6.111,0.32715,0.00048648,0.00285180731934
6.124,0.33691,0.00051596,0.00285832317934
6.137,0.32227,0.00047207,0.00286474537434
6.15,0.2832,0.00036456,0.00287018346934
6.163,0.32227,0.00047207,0.00287562156434
6.175,0.32715,0.00048648,0.00288137286434
6.189,0.33203,0.00050111,0.00288828599434
6.201,0.31738,0.00045787,0.00289403987434
6.214,0.32715,0.00048648,0.00290017814934
