Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"618500000","310000","3275","636.7",""
"619344000","310000","3275","637.5",""
"620438000","310000","3275","638.6",""
"621339000","310000","3275","639.8",""
"622183000","310000","3275","640.5",""
"623027000","310000","3275","641.3",""
"623870000","310000","3275","642.4",""
"624964000","310000","3275","643.2",""
"625865000","310000","3275","644.3",""
"626715000","310000","3275","645.1",""
"627558000","310000","3274","645.8",""
"628402000","310000","3274","647.0",""
"629496000","310000","3274","648.1",""
"630397000","310000","3275","648.9",""
"631240000","310000","3274","649.7",""
"632084000","310000","3274","650.8",""
"632927000","310000","3275","651.6",""
"634020000","310000","3275","652.7",""
"634921000","310000","3275","653.5",""
"635766000","310000","3274","654.2",""
"636614000","310000","3274","655.4",""
"637458000","310000","3275","656.1",""
"638544000","310000","3275","657.3",""
"639453000","310000","3275","658.0",""
"640296000","310000","3275","659.2",""
"641140000","310000","3275","659.9",""
"641982000","310000","3275","660.7",""
"643076000","310000","3275","661.8",""
"643977000","310000","3274","662.6",""
"644821000","310000","3275","663.8",""
"645664000","310000","3274","664.5",""
"646514000","310000","3274","665.3",""
"647607000","310000","3274","666.4",""
"648509000","310000","3274","667.6",""
"649353000","310000","3274","668.3",""
"650197000","310000","3274","669.1",""
"651040000","310000","3274","669.8",""
"652133000","310000","3274","671.0",""
"653034000","310000","3274","672.1",""
"653878000","310000","3274","672.9",""
"654721000","310000","3274","673.6",""
"655565000","310000","3274","674.8",""
"656663000","310000","3274","675.5",""
"657565000","310000","3274","676.7",""
"658408000","310000","3274","677.5",""
"659252000","309500","3274","678.2",""
"660100000","309500","3274","679.4",""
"661194000","309500","3274","680.5",""
"662095000","309500","3274","681.3",""
"662939000","309500","3274","682.0",""
"663783000","309500","3274","683.2",""
"664627000","309500","3274","683.9",""
"665719000","309500","3274","685.1",""
"666626000","309500","3274","685.8",""
"667469000","309500","3274","686.6",""
"668314000","309500","3274","687.7",""
"669158000","309500","3274","688.5",""
"670251000","309500","3274","689.6",""
"671152000","309500","3274","690.4",""
"671997000","309500","3274","691.6",""
"672841000","309500","3274","692.3",""
"673684000","309500","3274","693.1",""
"674777000","309500","3274","694.2",""
"675679000","309500","3274","695.4",""
"676529000","309500","3274","696.1",""
"677373000","309500","3274","696.9",""
"678215000","309500","3274","697.6",""
"679309000","309500","3274","698.8",""
"680210000","309500","3274","699.9",""
"681054000","309500","3274","700.7",""
"681897000","309500","3274","701.4",""
"682740000","309500","3274","702.6",""
"683834000","309500","3274","703.3",""
"684736000","309500","3274","704.5",""
"685579000","309500","3274","705.3",""
"686428000","309500","3274","706.0",""
"687272000","309500","3274","707.2",""
"688365000","309500","3274","708.3",""
"689267000","309500","3274","709.1",""
"690110000","309500","3274","709.8",""
"690953000","309500","3274","711.0",""
"691796000","309500","3274","711.7",""
"692889000","309500","3274","712.9",""
"693791000","309500","3274","713.6",""
"694635000","309500","3274","714.4",""
"695479000","309500","3274","715.6",""
"696328000","309500","3274","716.3",""
"697422000","309500","3274","717.5",""
"698323000","309500","3274","718.2",""
"699166000","309500","3274","719.4",""
"700010000","309500","3274","720.1",""
"700854000","309500","3274","720.9",""
"701952000","309500","3274","722.0",""
"702854000","309500","3274","722.8",""
"703698000","309500","3275","723.9",""
"704541000","309500","3275","724.7",""
"705384000","309500","3275","725.4",""
"706483000","310300","3274","726.6",""
"707383000","310300","3274","727.7",""
"708227000","310300","3274","728.5",""
"709071000","310300","3274","729.3",""
"709915000","310300","3274","730.0",""
"711008000","310300","3274","731.2",""
"711909000","310300","3274","732.3",""
"712753000","310300","3274","733.1",""
"713597000","310300","3274","733.8",""
"714440000","310300","3274","735.0",""
"715533000","310300","3274","735.7",""
"716440000","310300","3274","736.9",""
"717285000","310300","3274","737.6",""
"718128000","310300","3274","738.4",""
"718973000","310300","3274","739.5",""
"720066000","310300","3275","740.7",""
"720968000","310300","3274","741.4",""
"721812000","310300","3274","742.2",""
"722656000","310300","3274","743.4",""
"723499000","310300","3275","744.1",""
"724592000","310300","3275","745.3",""
"725493000","310300","3275","746.0",""
"726342000","310300","3275","746.8",""
"727186000","310300","3275","747.9",""
"728030000","310300","3275","748.7",""
"729123000","310300","3275","749.8",""
"730025000","310300","3275","750.6",""
"730868000","310300","3275","751.7",""
"731712000","310300","3275","752.5",""
"732555000","310300","3275","753.2",""
"733648000","310300","3275","754.4",""
"734549000","310300","3275","755.5",""
"735392000","310300","3275","756.3",""
"736242000","310300","3275","757.1",""
"737085000","310300","3275","757.8",""
